Failure type	|Probe	|Usage	|Node Name	|Device Name	|Date/Time	|
TestJet Failure	|P175	|1	|DI_DIG_IN_G_16_	|tp576	|210330143713	|
TestJet Failure	|P257	|1	|DO_SPICAN_SCK_1_	|tp976	|210330143713	|
TestJet Failure	|P250	|1	|DO_PWH_ACK_TOGGLE	|tp221	|210330143713	|
TestJet Failure	|P30	|1	|TCK	|tp988	|210330143713	|
TestJet Failure	|P54	|1	|_DI_SPICAN_RX1BF__1_	|tp950	|210330143713	|
TestJet Failure	|P90	|1	|AI_AN_IN_A_9_	|tp408	|210330143713	|
TestJet Failure	|P195	|1	|DI_OEW_FEEDBACK	|tp244	|210330143713	|
TestJet Failure	|P382	|1	|SIGN2189	|tp954	|210330143713	|
TestJet Failure	|P260	|1	|DO_T_WAKE-UP	|tp588	|210330143713	|
TestJet Failure	|P91	|1	|AI_AN_IN_B_1_	|tp411	|210330143713	|
TestJet Failure	|P67	|1	|_DO_SPICAN_TX1RTS__0_	|tp927	|210330143713	|
TestJet Failure	|P261	|1	|DO_VR_SCK	|tp186	|210330143713	|
TestJet Failure	|P392	|1	|SIGN2210	|tp994	|210330143713	|
TestJet Failure	|P85	|1	|AI_AN_IN_A_4_	|tp403	|210330143713	|
TestJet Failure	|P31	|1	|TDI	|tp990	|210330143713	|
TestJet Failure	|P247	|1	|DO_LIN_TXD	|tp813	|210330143713	|
TestJet Failure	|P56	|1	|_DO_COM_F_TXD_	|tp800	|210330143713	|
TestJet Failure	|P166	|1	|DI_DIG_IN_G_7_	|tp567	|210330143713	|
TestJet Failure	|P149	|1	|DI_15_WAKE-UP	|tp505	|210330143713	|
TestJet Failure	|P203	|1	|DI_T_WAKE-UP	|tp520	|210330143713	|
TestJet Failure	|P169	|1	|DI_DIG_IN_G_10_	|tp570	|210330143713	|
TestJet Failure	|P167	|1	|DI_DIG_IN_G_8_	|tp568	|210330143713	|
TestJet Failure	|P160	|1	|DI_DIG_IN_G_1_	|tp561	|210330143713	|
TestJet Failure	|P61	|1	|_DO_SPICAN_CS__0_	|tp931	|210330143713	|
TestJet Failure	|P164	|1	|DI_DIG_IN_G_5_	|tp565	|210330143713	|
TestJet Failure	|P165	|1	|DI_DIG_IN_G_6_	|tp566	|210330143713	|
TestJet Failure	|P389	|1	|SIGN2200	|tp995	|210330143713	|
TestJet Failure	|P112	|1	|AI_TERM_30	|tp265	|210330143713	|
TestJet Failure	|P390	|1	|SIGN2202	|tp992	|210330143713	|
TestJet Failure	|P159	|1	|DI_COM_F_RXL	|tp803	|210330143713	|
TestJet Failure	|P177	|1	|DI_DIG_IN_G_18_	|tp578	|210330143713	|
TestJet Failure	|P173	|1	|DI_DIG_IN_G_14_	|tp574	|210330143713	|
TestJet Failure	|P181	|1	|DI_DIG_IN_G_22_	|tp582	|210330143713	|
TestJet Failure	|P87	|1	|AI_AN_IN_A_6_	|tp405	|210330143713	|
TestJet Failure	|P92	|1	|AI_AN_IN_B_2_	|tp414	|210330143713	|
TestJet Failure	|P183	|1	|DI_DIG_IN_G_24_	|tp584	|210330143713	|
TestJet Failure	|P75	|1	|_WE__0_	|tp997	|210330143713	|
TestJet Failure	|P83	|1	|AI_AN_IN_A_2_	|tp401	|210330143713	|
TestJet Failure	|P179	|1	|DI_DIG_IN_G_20_	|tp580	|210330143713	|
TestJet Failure	|P172	|1	|DI_DIG_IN_G_13_	|tp573	|210330143713	|
TestJet Failure	|P96	|1	|AI_AN_IN_B_6_	|tp426	|210330143713	|
TestJet Failure	|P20	|1	|JCOMP	|tp996	|210330143713	|
TestJet Failure	|P32	|1	|TDO	|tp987	|210330143713	|
TestJet Failure	|P185	|1	|DI_DIG_IN_G_26_	|tp586	|210330143713	|
TestJet Failure	|P33	|1	|TMS	|tp989	|210330143713	|
TestJet Failure	|P74	|1	|_RSTOUT_	|tp224	|210330143713	|
TestJet Failure	|P98	|1	|AI_AN_IN_B_8_	|tp432	|210330143714	|
TestJet Failure	|P237	|1	|DO_12V_OUT_M	|tp338	|210330143714	|
TestJet Failure	|P121	|1	|AI_VARICO	|tp272	|210330143714	|
TestJet Failure	|P251	|1	|DO_PWH_REQUEST	|tp220	|210330144019	|
TestJet Failure	|P52	|1	|_DI_SPICAN_RX0BF__1_	|tp949	|210330144019	|
TestJet Failure	|P262	|1	|DO_VR_SI	|tp184	|210330144019	|
TestJet Failure	|P201	|1	|DI_SPICAN_SO_0_	|tp932	|210330144019	|
TestJet Failure	|P275	|1	|REGSEL	|tp974	|210330144019	|
TestJet Failure	|P84	|1	|AI_AN_IN_A_3_	|tp402	|210330144019	|
TestJet Failure	|P202	|1	|DI_SPICAN_SO_1_	|tp945	|210330144019	|
TestJet Failure	|P72	|1	|_OE_	|tp1000	|210330144019	|
TestJet Failure	|P258	|1	|DO_SPICAN_SI_0_	|tp933	|210330144019	|
TestJet Failure	|P391	|1	|SIGN2209	|tp993	|210330144019	|
TestJet Failure	|P95	|1	|AI_AN_IN_B_5_	|tp423	|210330144019	|
TestJet Failure	|P97	|1	|AI_AN_IN_B_7_	|tp429	|210330144019	|
TestJet Failure	|P170	|1	|DI_DIG_IN_G_11_	|tp571	|210330144019	|
TestJet Failure	|P140	|1	|BOOTCFG_1_	|tp985	|210330144019	|
TestJet Failure	|P161	|1	|DI_DIG_IN_G_2_	|tp562	|210330144019	|
TestJet Failure	|P193	|1	|DI_FREQ_IN_N	|tp823	|210330144019	|
TestJet Failure	|P53	|1	|_DI_SPICAN_RX1BF__0_	|tp937	|210330144019	|
TestJet Failure	|P171	|1	|DI_DIG_IN_G_12_	|tp572	|210330144019	|
TestJet Failure	|P255	|1	|DO_S_WAKE-UP	|tp587	|210330144019	|
TestJet Failure	|P204	|1	|DI_VR_SO	|tp185	|210330144019	|
TestJet Failure	|P176	|1	|DI_DIG_IN_G_17_	|tp577	|210330144019	|
TestJet Failure	|P200	|1	|DI_S_WAKE-UP	|tp511	|210330144019	|
TestJet Failure	|P180	|1	|DI_DIG_IN_G_21_	|tp581	|210330144019	|
TestJet Failure	|P190	|1	|DI_DIG_IN_I_4_	|tp524	|210330144019	|
TestJet Failure	|P182	|1	|DI_DIG_IN_G_23_	|tp583	|210330144019	|
TestJet Failure	|P174	|1	|DI_DIG_IN_G_15_	|tp575	|210330144019	|
TestJet Failure	|P119	|1	|AI_V30D	|tp257	|210330144019	|
TestJet Failure	|P178	|1	|DI_DIG_IN_G_19_	|tp579	|210330144019	|
TestJet Failure	|P188	|1	|DI_DIG_IN_I_2_	|tp522	|210330144019	|
TestJet Failure	|P82	|1	|AI_AN_IN_A_1_	|tp400	|210330144019	|
TestJet Failure	|P150	|1	|DI_BI_DIR_J	|tp829	|210330144019	|
TestJet Failure	|P68	|1	|_DO_SPICAN_TX1RTS__1_	|tp941	|210330144019	|
TestJet Failure	|P184	|1	|DI_DIG_IN_G_25_	|tp585	|210330144019	|
TestJet Failure	|P63	|1	|_DO_SPICAN_RES__0_	|tp930	|210330144019	|
TestJet Failure	|P175	|1	|DI_DIG_IN_G_16_	|tp576	|210330144019	|
TestJet Failure	|P257	|1	|DO_SPICAN_SCK_1_	|tp976	|210330144019	|
TestJet Failure	|P250	|1	|DO_PWH_ACK_TOGGLE	|tp221	|210330144019	|
TestJet Failure	|P30	|1	|TCK	|tp988	|210330144019	|
TestJet Failure	|P54	|1	|_DI_SPICAN_RX1BF__1_	|tp950	|210330144019	|
TestJet Failure	|P90	|1	|AI_AN_IN_A_9_	|tp408	|210330144019	|
TestJet Failure	|P195	|1	|DI_OEW_FEEDBACK	|tp244	|210330144019	|
TestJet Failure	|P382	|1	|SIGN2189	|tp954	|210330144019	|
TestJet Failure	|P260	|1	|DO_T_WAKE-UP	|tp588	|210330144019	|
TestJet Failure	|P91	|1	|AI_AN_IN_B_1_	|tp411	|210330144019	|
TestJet Failure	|P67	|1	|_DO_SPICAN_TX1RTS__0_	|tp927	|210330144019	|
TestJet Failure	|P261	|1	|DO_VR_SCK	|tp186	|210330144019	|
TestJet Failure	|P392	|1	|SIGN2210	|tp994	|210330144019	|
TestJet Failure	|P85	|1	|AI_AN_IN_A_4_	|tp403	|210330144019	|
TestJet Failure	|P31	|1	|TDI	|tp990	|210330144019	|
TestJet Failure	|P247	|1	|DO_LIN_TXD	|tp813	|210330144019	|
TestJet Failure	|P56	|1	|_DO_COM_F_TXD_	|tp800	|210330144019	|
TestJet Failure	|P166	|1	|DI_DIG_IN_G_7_	|tp567	|210330144019	|
TestJet Failure	|P149	|1	|DI_15_WAKE-UP	|tp505	|210330144019	|
TestJet Failure	|P203	|1	|DI_T_WAKE-UP	|tp520	|210330144019	|
TestJet Failure	|P169	|1	|DI_DIG_IN_G_10_	|tp570	|210330144019	|
TestJet Failure	|P167	|1	|DI_DIG_IN_G_8_	|tp568	|210330144019	|
TestJet Failure	|P160	|1	|DI_DIG_IN_G_1_	|tp561	|210330144019	|
TestJet Failure	|P61	|1	|_DO_SPICAN_CS__0_	|tp931	|210330144019	|
TestJet Failure	|P164	|1	|DI_DIG_IN_G_5_	|tp565	|210330144019	|
TestJet Failure	|P165	|1	|DI_DIG_IN_G_6_	|tp566	|210330144019	|
TestJet Failure	|P389	|1	|SIGN2200	|tp995	|210330144019	|
TestJet Failure	|P112	|1	|AI_TERM_30	|tp265	|210330144019	|
TestJet Failure	|P390	|1	|SIGN2202	|tp992	|210330144019	|
TestJet Failure	|P159	|1	|DI_COM_F_RXL	|tp803	|210330144019	|
TestJet Failure	|P177	|1	|DI_DIG_IN_G_18_	|tp578	|210330144019	|
TestJet Failure	|P173	|1	|DI_DIG_IN_G_14_	|tp574	|210330144019	|
TestJet Failure	|P181	|1	|DI_DIG_IN_G_22_	|tp582	|210330144019	|
TestJet Failure	|P87	|1	|AI_AN_IN_A_6_	|tp405	|210330144019	|
TestJet Failure	|P92	|1	|AI_AN_IN_B_2_	|tp414	|210330144019	|
TestJet Failure	|P183	|1	|DI_DIG_IN_G_24_	|tp584	|210330144019	|
TestJet Failure	|P75	|1	|_WE__0_	|tp997	|210330144019	|
TestJet Failure	|P83	|1	|AI_AN_IN_A_2_	|tp401	|210330144019	|
